NumSpheres,Complexity,Radius,Velocity,Mass,WorldSize,Method,BroadTime_ms,NarrowTime_ms,HandleTime_ms,TotalTime_ms,PotentialCollisions,ActualCollisions
10,20,1,0.5,1,20,Sweep_and_Prune,0.124,0.000,0.002,0.126,0,0
30,20,1.000,0.500,1.000,20.000,Sweep_and_Prune,0.362,0.000,0.000,0.362,0,0
50,20,1.000,0.500,1.000,20.000,Sweep_and_Prune,0.734,0.000,0.000,0.734,0,0
100,20,1.000,0.500,1.000,20.000,Sweep_and_Prune,2.674,0.012,0.000,2.686,1,1
200,20,1.000,0.500,1.000,20.000,Sweep_and_Prune,8.955,0.012,0.000,8.967,2,1
500,20,1.000,0.500,1.000,20.000,Sweep_and_Prune,76.150,0.221,0.010,76.381,34,24
1000,20,1.000,0.500,1.000,20.000,Sweep_and_Prune,282.656,0.410,0.018,283.084,123,90
10,20,1.000,0.500,1.000,20.000,Brute_Force,0.007,0.001,0.001,0.009,0,0
30,20,1.000,0.500,1.000,20.000,Brute_Force,0.019,0.000,0.000,0.019,0,0
50,20,1.000,0.500,1.000,20.000,Brute_Force,0.059,0.020,0.001,0.080,2,2
100,20,1.000,0.500,1.000,20.000,Brute_Force,0.211,0.016,0.000,0.227,3,3
200,20,1.000,0.500,1.000,20.000,Brute_Force,1.109,0.096,0.002,1.207,9,9
500,20,1.000,0.500,1.000,20.000,Brute_Force,5.223,0.330,0.006,5.559,78,78
1000,20,1.000,0.500,1.000,20.000,Brute_Force,20.748,1.124,0.016,21.888,293,293
20,20,1.000,0.500,1.000,20.000,Sweep_and_Prune,0.217,0.000,0.000,0.217,0,0
20,50,1.000,0.500,1.000,20.000,Sweep_and_Prune,0.431,0.000,0.001,0.432,0,0
20,100,1.000,0.500,1.000,20.000,Sweep_and_Prune,0.220,0.000,0.000,0.220,0,0
20,200,1.000,0.500,1.000,20.000,Sweep_and_Prune,0.198,0.000,0.000,0.198,0,0
20,300,1.000,0.500,1.000,20.000,Sweep_and_Prune,0.255,0.000,0.002,0.257,0,0
20,400,1.000,0.500,1.000,20.000,Sweep_and_Prune,0.199,0.000,0.000,0.199,0,0
20,800,1.000,0.500,1.000,20.000,Sweep_and_Prune,0.359,0.000,0.001,0.360,0,0
20,20,1.000,0.500,1.000,20.000,Brute_Force,0.009,0.000,0.000,0.009,0,0
20,50,1.000,0.500,1.000,20.000,Brute_Force,0.010,0.000,0.000,0.010,0,0
20,100,1.000,0.500,1.000,20.000,Brute_Force,0.027,0.000,0.000,0.027,0,0
20,200,1.000,0.500,1.000,20.000,Brute_Force,0.010,0.000,0.000,0.010,0,0
20,300,1.000,0.500,1.000,20.000,Brute_Force,0.010,0.000,0.000,0.010,0,0
20,400,1.000,0.500,1.000,20.000,Brute_Force,0.013,0.010,0.000,0.023,1,1
20,800,1.000,0.500,1.000,20.000,Brute_Force,0.009,0.000,0.000,0.009,0,0
100,20,0.500,0.500,1.000,50.000,Sweep_and_Prune,1.613,0.000,0.000,1.613,0,0
100,20,2.000,0.500,1.000,50.000,Sweep_and_Prune,2.156,0.000,0.000,2.156,0,0
100,20,5.000,0.500,1.000,50.000,Sweep_and_Prune,3.557,0.025,0.000,3.582,7,5
100,20,7.000,0.500,1.000,50.000,Sweep_and_Prune,4.179,0.056,0.000,4.235,19,14
100,20,10.000,0.500,1.000,50.000,Sweep_and_Prune,5.753,0.360,0.003,6.116,114,80
100,20,15.000,0.500,1.000,50.000,Sweep_and_Prune,8.607,1.843,0.024,10.474,418,304
100,20,0.500,0.500,1.000,50.000,Brute_Force,0.193,0.000,0.000,0.193,0,0
100,20,2.000,0.500,1.000,50.000,Brute_Force,0.207,0.009,0.000,0.216,1,1
100,20,5.000,0.500,1.000,50.000,Brute_Force,0.203,0.114,0.001,0.318,31,31
100,20,7.000,0.500,1.000,50.000,Brute_Force,0.214,0.326,0.004,0.544,89,88
100,20,10.000,0.500,1.000,50.000,Brute_Force,0.221,0.851,0.011,1.083,250,250
100,20,15.000,0.500,1.000,50.000,Brute_Force,0.284,3.419,0.038,3.741,894,892
20,20,1.000,0.500,1.000,20.000,Sweep_and_Prune,0.196,0.000,0.000,0.196,0,0
20,20,1.000,1.000,1.000,20.000,Sweep_and_Prune,0.185,0.000,0.000,0.185,0,0
20,20,1.000,2.000,1.000,20.000,Sweep_and_Prune,0.179,0.000,0.000,0.179,0,0
20,20,1.000,5.000,1.000,20.000,Sweep_and_Prune,0.183,0.000,0.000,0.183,0,0
20,20,1.000,10.000,1.000,20.000,Sweep_and_Prune,0.167,0.000,0.000,0.167,0,0
20,20,1.000,0.500,1.000,20.000,Brute_Force,0.008,0.000,0.000,0.008,0,0
20,20,1.000,1.000,1.000,20.000,Brute_Force,0.008,0.000,0.000,0.008,0,0
20,20,1.000,2.000,1.000,20.000,Brute_Force,0.008,0.000,0.000,0.008,0,0
20,20,1.000,5.000,1.000,20.000,Brute_Force,0.007,0.000,0.000,0.007,0,0
20,20,1.000,10.000,1.000,20.000,Brute_Force,0.009,0.000,0.000,0.009,0,0
